type,ID,MC,SF,CSM,_JWDWZZB__ID,_JWDWZZB__WD,_JWDWZZB__JD,
ZGCS,c088c55c-8acd-4425-a7d2-3519a0e120eb,甘肃省武威市,甘肃省,武威市,c088c55c-8acd-4425-a7d2-3519a0e120eb,37.92484325,102.6316222,
ZGCS,7ab5b41a-e3e4-40c5-ba6e-1e37cf03fd45,甘肃省张掖市,甘肃省,张掖市,7ab5b41a-e3e4-40c5-ba6e-1e37cf03fd45,38.93259916,100.4573572,
ZGCS,7e45a3f2-7951-4fd7-8079-1e5faff9e89a,甘肃省平凉市,甘肃省,平凉市,7e45a3f2-7951-4fd7-8079-1e5faff9e89a,35.54238012,106.6808957,
ZGCS,899832fc-a4c8-4a72-8e87-54051118eac2,甘肃省酒泉市,甘肃省,酒泉市,899832fc-a4c8-4a72-8e87-54051118eac2,39.74289452,98.51245723,
ZGCS,659a1aed-3049-40b9-9e43-3e3473248313,甘肃省庆阳市,甘肃省,庆阳市,659a1aed-3049-40b9-9e43-3e3473248313,35.7293538,107.6349525,
ZGCS,133bb0d7-a380-421f-aa2e-f84b53925389,甘肃省定西市,甘肃省,定西市,133bb0d7-a380-421f-aa2e-f84b53925389,35.57809373,104.613387,
ZGCS,29ae404f-af6d-44ff-bda7-af38bf70254b,甘肃省陇南市,甘肃省,陇南市,29ae404f-af6d-44ff-bda7-af38bf70254b,33.39342597,104.9202403,
ZGCS,8f1ff0be-fbe2-48f1-88bb-8007cdc91d90,甘肃省临夏回族自治州,甘肃省,临夏回族自治州,8f1ff0be-fbe2-48f1-88bb-8007cdc91d90,35.60105007,103.205711,
ZGCS,5fde53d6-170c-455d-bbb4-ed50cf7021fb,甘肃省甘南藏族自治州,甘肃省,甘南藏族自治州,5fde53d6-170c-455d-bbb4-ed50cf7021fb,35.0027864,102.9188213,
ZGCS,76ec53a5-ced5-474c-ba68-2274da2c28fd,青海省西宁市,青海省,西宁市,76ec53a5-ced5-474c-ba68-2274da2c28fd,36.6212465,101.7779873,
ZGCS,caf92338-d828-4c05-887d-10b1f78ac00a,青海省海东市,青海省,海东市,caf92338-d828-4c05-887d-10b1f78ac00a,36.49275734,102.1031959,
ZGCS,8d76df37-4085-47bd-90c0-cec19385bf7b,青海省海西蒙古族藏族自治州,青海省,海西蒙古族藏族自治州,8d76df37-4085-47bd-90c0-cec19385bf7b,38.74232263,93.330613,
ZGCS,5f25d268-d38e-41b0-ad2a-8d2b2a6b1d27,青海省海北藏族自治州,青海省,海北藏族自治州,5f25d268-d38e-41b0-ad2a-8d2b2a6b1d27,36.899391,100.98606,
ZGCS,b46a3d87-354d-436f-a6c8-e59e39d311c2,青海省黄南藏族自治州,青海省,黄南藏族自治州,b46a3d87-354d-436f-a6c8-e59e39d311c2,35.51407935,102.0166921,
ZGCS,e4a8fbaf-f48f-4f60-b533-fcba4a3c31fc,青海省海南藏族自治州,青海省,海南藏族自治州,e4a8fbaf-f48f-4f60-b533-fcba4a3c31fc,36.28009,100.61626,
ZGCS,575ecf36-2b27-4d7a-8d54-db69f1f7f1c2,青海省果洛藏族自治州,青海省,果洛藏族自治州,575ecf36-2b27-4d7a-8d54-db69f1f7f1c2,34.474026,100.24619,
ZGCS,962813d4-d59a-40ce-b5d5-8bfcf6983ed0,青海省玉树藏族自治州,青海省,玉树藏族自治州,962813d4-d59a-40ce-b5d5-8bfcf6983ed0,33.00386692,97.01332082,
ZGCS,aa488765-0919-47f2-8648-7d62a3d8de46,新疆维吾尔自治区乌鲁木齐市,新疆维吾尔自治区,乌鲁木齐市,aa488765-0919-47f2-8648-7d62a3d8de46,43.78259334,87.58649898,
ZGCS,30c3695c-b294-47d8-8325-afc230833852,新疆维吾尔自治区哈密地区,新疆维吾尔自治区,哈密地区,30c3695c-b294-47d8-8325-afc230833852,43.212,91.744,
